year,country,kopen,,,,,,,,,,,,,,
1870,AUS,1,,,,,,,,,,,,,,
1871,AUS,1,,,,,,,,,,,,,,
1872,AUS,1,,,,,,,,,,,,,,
1873,AUS,1,,,,,,,,,,,,,,
1874,AUS,1,,,,,,,,,,,,,,
1875,AUS,1,,,,,,,,,,,,,,
1876,AUS,1,,,,,,,,,,,,,,
1877,AUS,1,,,,,,,,,,,,,,
1878,AUS,1,,,,,,,,,,,,,,
1879,AUS,1,,,,,,,,,,,,,,
1880,AUS,1,,,,,,,,,,,,,,
1881,AUS,1,,,,,,,,,,,,,,
1882,AUS,1,,,,,,,,,,,,,,
1883,AUS,1,,,,,,,,,,,,,,
1884,AUS,1,,,,,,,,,,,,,,
1885,AUS,1,,,,,,,,,,,,,,
1886,AUS,1,,,,,,,,,,,,,,
1887,AUS,1,,,,,,,,,,,,,,
1888,AUS,1,,,,,,,,,,,,,,
1889,AUS,1,,,,,,,,,,,,,,
1890,AUS,1,,,,,,,,,,,,,,
1891,AUS,1,,,,,,,,,,,,,,
1892,AUS,1,,,,,,,,,,,,,,
1893,AUS,1,,,,,,,,,,,,,,
1894,AUS,1,,,,,,,,,,,,,,
1895,AUS,1,,,,,,,,,,,,,,
1896,AUS,1,,,,,,,,,,,,,,
1897,AUS,1,,,,,,,,,,,,,,
1898,AUS,1,,,,,,,,,,,,,,
1899,AUS,1,,,,,,,,,,,,,,
1900,AUS,1,,,,,,,,,,,,,,
1901,AUS,1,,,,,,,,,,,,,,
1902,AUS,1,,,,,,,,,,,,,,
1903,AUS,1,,,,,,,,,,,,,,
1904,AUS,1,,,,,,,,,,,,,,
1905,AUS,1,,,,,,,,,,,,,,
1906,AUS,1,,,,,,,,,,,,,,
1907,AUS,1,,,,,,,,,,,,,,
1908,AUS,1,,,,,,,,,,,,,,
1909,AUS,1,,,,,,,,,,,,,,
1910,AUS,1,,,,,,,,,,,,,,
1911,AUS,1,,,,,,,,,,,,,,
1912,AUS,1,,,,,,,,,,,,,,
1913,AUS,1,,,,,,,,,,,,,,
1914,AUS,1,,,,,,,,,,,,,,
1915,AUS,1,,,,,,,,,,,,,,
1916,AUS,1,,,,,,,,,,,,,,
1917,AUS,0.75,,,,,,,,,,,,,,
1918,AUS,0.75,,,,,,,,,,,,,,
1919,AUS,,,,,,,,,,,,,,,
1920,AUS,0.5,,,,,,,,,,,,,,
1921,AUS,0.5,,,,,,,,,,,,,,
1922,AUS,0.5,,,,,,,,,,,,,,
1923,AUS,0.5,,,,,,,,,,,,,,
1924,AUS,0.5,,,,,,,,,,,,,,
1925,AUS,1,,,,,,,,,,,,,,
1926,AUS,1,,,,,,,,,,,,,,
1927,AUS,1,,,,,,,,,,,,,,
1928,AUS,1,,,,,,,,,,,,,,
1929,AUS,1,,,,,,,,,,,,,,
1930,AUS,0.5,,,,,,,,,,,,,,
1931,AUS,0.5,,,,,,,,,,,,,,
1932,AUS,0.5,,,,,,,,,,,,,,
1933,AUS,0.5,,,,,,,,,,,,,,
1934,AUS,0.5,,,,,,,,,,,,,,
1935,AUS,0.5,,,,,,,,,,,,,,
1936,AUS,0.5,,,,,,,,,,,,,,
1937,AUS,0.5,,,,,,,,,,,,,,
1938,AUS,0.5,,,,,,,,,,,,,,
1939,AUS,,,,,,,,,,,,,,,
1940,AUS,,,,,,,,,,,,,,,
1941,AUS,,,,,,,,,,,,,,,
1942,AUS,,,,,,,,,,,,,,,
1943,AUS,,,,,,,,,,,,,,,
1944,AUS,,,,,,,,,,,,,,,
1945,AUS,,,,,,,,,,,,,,,
1946,AUS,,,,,,,,,,,,,,,
1947,AUS,,,,,,,,,,,,,,,
1948,AUS,,,,,,,,,,,,,,,
1949,AUS,,,,,,,,,,,,,,,
1950,AUS,0.375,,,,,,,,,,,,,,
1951,AUS,0.375,,,,,,,,,,,,,,
1952,AUS,0.625,,,,,,,,,,,,,,
1953,AUS,0.625,,,,,,,,,,,,,,
1954,AUS,0.625,,,,,,,,,,,,,,
1955,AUS,0.625,,,,,,,,,,,,,,
1956,AUS,0.625,,,,,,,,,,,,,,
1957,AUS,0.625,,,,,,,,,,,,,,
1958,AUS,0.625,,,,,,,,,,,,,,
1959,AUS,0.625,,,,,,,,,,,,,,
1960,AUS,0.625,,,,,,,,,,,,,,
1961,AUS,0.625,,,,,,,,,,,,,,
1962,AUS,0.625,,,,,,,,,,,,,,
1963,AUS,0.625,,,,,,,,,,,,,,
1964,AUS,0.625,,,,,,,,,,,,,,
1965,AUS,0.625,,,,,,,,,,,,,,
1966,AUS,0.625,,,,,,,,,,,,,,
1967,AUS,0.625,,,,,,,,,,,,,,
1968,AUS,0.625,,,,,,,,,,,,,,
1969,AUS,0.5,,,,,,,,,,,,,,
1970,AUS,0.5,,,,,,,,,,,,,,
1971,AUS,0.5,,,,,,,,,,,,,,
1972,AUS,0.375,,,,,,,,,,,,,,
1973,AUS,0.375,,,,,,,,,,,,,,
1974,AUS,0.375,,,,,,,,,,,,,,
1975,AUS,0.375,,,,,,,,,,,,,,
1976,AUS,0.375,,,,,,,,,,,,,,
1977,AUS,0.375,,,,,,,,,,,,,,
1978,AUS,0.5,,,,,,,,,,,,,,
1979,AUS,0.5,,,,,,,,,,,,,,
1980,AUS,0.5,,,,,,,,,,,,,,
1981,AUS,0.5,,,,,,,,,,,,,,
1982,AUS,0.5,,,,,,,,,,,,,,
1983,AUS,0.625,,,,,,,,,,,,,,
1984,AUS,0.625,,,,,,,,,,,,,,
1985,AUS,0.75,,,,,,,,,,,,,,
1986,AUS,0.75,,,,,,,,,,,,,,
1987,AUS,0.75,,,,,,,,,,,,,,
1988,AUS,0.75,,,,,,,,,,,,,,
1989,AUS,0.75,,,,,,,,,,,,,,
1990,AUS,0.75,,,,,,,,,,,,,,
1991,AUS,0.75,,,,,,,,,,,,,,
1992,AUS,0.75,,,,,,,,,,,,,,
1993,AUS,0.75,,,,,,,,,,,,,,
1994,AUS,0.75,,,,,,,,,,,,,,
1995,AUS,0.75,,,,,,,,,,,,,,
1996,AUS,0.75,,,,,,,,,,,,,,
1997,AUS,0.75,,,,,,,,,,,,,,
1998,AUS,0.75,,,,,,,,,,,,,,
